FastSpeedChanges,17:30:13.8216064
(0, 290),17:30:20.0186752
(1, 345),17:30:20.5205120
(0, 335),17:30:21.0209920
(1, 255),17:30:21.5225472
(0, 215),17:30:22.0228608
(1, 315),17:30:22.5267456
(0, 315),17:30:23.0275328
(1, 265),17:30:23.5280000
(0, 260),17:30:24.0290816
(1, 300),17:30:24.5307136
(0, 305),17:30:25.0318848
(1, 335),17:30:25.5327616
(0, 330),17:30:26.0332928
(1, 275),17:30:26.5337984
(0, 290),17:30:27.0342144
(1, 370),17:30:27.5346432
(0, 350),17:30:28.0353792
(1, 350),17:30:28.5361024
(0, 260),17:30:29.0374272
(1, 190),17:30:29.5387648
(0, 325),17:30:30.0402432
(1, 315),17:30:30.5415168
(0, 260),17:30:31.0419456
(1, 250),17:30:31.5578112
(0, 340),17:30:32.0581888
(1, 265),17:30:32.5588864
(0, 285),17:30:33.0592384
(1, 300),17:30:33.5597440
(0, 390),17:30:34.0603008
(1, 305),17:30:34.5615488
(0, 280),17:30:35.0622208
(1, 345),17:30:35.5626112
(0, 275),17:30:36.0633088
(1, 420),17:30:36.5642112
(0, 325),17:30:37.0648448
(1, 385),17:30:37.5788288
(0, 345),17:30:38.0792192
(1, 375),17:30:38.5795968
(0, 270),17:30:39.0800896
(1, 220),17:30:39.5809024
(0, 295),17:30:40.0817792
(1, 320),17:30:40.5838976
(0, 350),17:30:41.0845184
(1, 275),17:30:41.5849600
(0, 220),17:30:42.0854016
(1, 315),17:30:42.5860864
(0, 375),17:30:43.0868864
(1, 360),17:30:43.5877632
(0, 280),17:30:44.0883456
(1, 185),17:30:44.6011136
(0, 270),17:30:45.1016960
(1, 250),17:30:45.6026496
(0, 240),17:30:46.1032320
(1, 305),17:30:46.6044672
(0, 335),17:30:47.1058688
(1, 285),17:30:47.6169344
(0, 265),17:30:48.1173120
(1, 250),17:30:48.6179072
(0, 300),17:30:49.1183872
(1, 350),17:30:49.6194688
(0, 340),17:30:50.1249280
(1, 295),17:30:50.6262272
(0, 395),17:30:51.1383680
(1, 315),17:30:51.6390912
(0, 335),17:30:52.1401344
(1, 240),17:30:52.6405632
(0, 285),17:30:53.1418368
(1, 280),17:30:53.6430080
(0, 195),17:30:54.1436032
(1, 310),17:30:54.6439296
(0, 310),17:30:55.1449344
(1, 320),17:30:55.6453120
(0, 250),17:30:56.1460608
(1, 295),17:30:56.6467328
(0, 330),17:30:57.1472896
(1, 365),17:30:57.6576512
(0, 355),17:30:58.1586176
(1, 280),17:30:58.6598400
(0, 330),17:30:59.1606144
(1, 305),17:30:59.6615552
(0, 380),17:31:00.1622400
(1, 345),17:31:00.6634240
(0, 285),17:31:01.1645440
(1, 190),17:31:01.6651520
(0, 320),17:31:02.1660672
(1, 295),17:31:02.6665984
(0, 325),17:31:03.1677312
(1, 240),17:31:03.6684544
(0, 295),17:31:04.1698176
(1, 330),17:31:04.6706816
