DotMotion,2019-03-21T12:59:10.2127616+00:00
{Id=6, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=-25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T12:59:20.5287168+00:00
{Id=7, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=1200, numDots2=0, VelocityX=-25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-21T12:59:23.4814976+00:00
{Id=0, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T12:59:26.5014528+00:00
{Id=1, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=1200, numDots2=0, VelocityX=50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-21T12:59:29.5072896+00:00
{Id=8, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=-25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T12:59:32.5235328+00:00
{Id=17, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=25, VelocityY=43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T12:59:35.5405440+00:00
{Id=3, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T12:59:38.5576704+00:00
{Id=14, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=-25, VelocityY=43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T12:59:41.5756416+00:00
{Id=15, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=25, VelocityY=43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T12:59:44.6030720+00:00
{Id=9, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=-50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T12:59:47.6081280+00:00
{Id=2, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T12:59:50.6244608+00:00
{Id=16, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=1200, numDots2=0, VelocityX=25, VelocityY=43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-21T12:59:53.6409728+00:00
{Id=5, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T12:59:56.6713856+00:00
{Id=4, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=1200, numDots2=0, VelocityX=25, VelocityY=-43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-21T12:59:59.6750464+00:00
{Id=10, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=1200, numDots2=0, VelocityX=-50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-21T13:00:02.6917632+00:00
{Id=11, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=4800, numDots2=0, VelocityX=-50, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=0.5},2019-03-21T13:00:05.7086464+00:00
{Id=12, Duration=2, Colour1=0, Colour2=1, Contrast=1, numDots1=300, numDots2=0, VelocityX=-25, VelocityY=43.3, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=2},2019-03-21T13:00:08.7257856+00:00
