SpeedTextures,16:38:57.5297664
{Id=3, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:38:57.6775296
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:01.1974784
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:04.2076544
{Id=5, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:07.2239616
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:10.2400384
{Id=2, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:13.2586368
{Id=7, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:16.2729088
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:19.2897408
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:22.3064192
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:25.3262848
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:39:28.3391872
