SpeedTextures,16:43:06.3222400
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=100, CohRight=100, transXL=-100, transXR=100},16:43:06.3428352
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=-100, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:09.7022464
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=-300, VelYRight=0, CohRight=100, transXL=-9999, transXR=9999},16:43:12.7193088
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=-67.1, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:15.7357184
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=-300, VelYRight=0, CohRight=100, transXL=-100, transXR=99999},16:43:18.7518464
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=-447, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:21.7681280
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=-1342, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:24.7858432
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=-22.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:27.8002304
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=-100, VelYRight=0, CohRight=100, transXL=-9999, transXR=9999},16:43:30.8167552
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=300, CohRight=100, transXL=-100, transXR=100},16:43:33.8346880
{Id=6, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-300, VelYLeft=0, CohLeft=100, VelXRight=-300, VelYRight=0, CohRight=100, transXL=-99999, transXR=100},16:43:36.8522496
{Id=6, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-100, VelYRight=0, CohRight=100, transXL=-99999, transXR=100},16:43:39.8663424
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=-100, VelYRight=0, CohRight=100, transXL=-100, transXR=99999},16:43:42.8824320
{Id=2, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-100, VelYLeft=0, CohLeft=100, VelXRight=100, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:43:45.9104000
