StartSession,15:20:57.2665984
(117, 56),15:21:24.7175680
(117, 57),15:21:24.8377216
(118, 57),15:21:24.9796992
(119, 57),15:21:29.3247616
(120, 57),15:21:29.5587712
(121, 57),15:21:29.7379200
(122, 57),15:21:29.9469184
(123, 57),15:21:30.1198464
(124, 57),15:21:30.2669312
(125, 57),15:21:30.4738048
(126, 57),15:21:31.7507968
(127, 57),15:21:31.9419520
(128, 57),15:21:32.1089920
(129, 57),15:21:32.1338624
(130, 57),15:21:32.3308032
(131, 57),15:21:36.8330112
(132, 57),15:21:37.0131456
(133, 57),15:21:37.2491008
(134, 57),15:21:37.7231744
(135, 57),15:21:41.4113280
(136, 57),15:21:41.4622720
(137, 57),15:21:41.6392576
(138, 57),15:21:41.6722688
(139, 57),15:21:41.8213632
(140, 57),15:21:42.0392960
(141, 57),15:21:42.2032512
(142, 57),15:21:42.3743616
(143, 57),15:21:42.5542784
(144, 57),15:21:42.7263744
(145, 57),15:21:46.6994176
(146, 57),15:21:46.7375232
(147, 57),15:21:46.9135360
(147, 58),15:21:52.4287104
(147, 59),15:21:52.6607616
(147, 60),15:21:53.2237056
(147, 61),15:21:53.3758336
(147, 62),15:21:53.5477632
(147, 63),15:21:53.6867456
(147, 64),15:21:53.9578112
(147, 65),15:21:54.1288320
(147, 66),15:22:01.0491008
(147, 67),15:22:01.2510080
(147, 68),15:22:01.4531200
(148, 68),15:22:03.7611136
(149, 68),15:22:03.9231872
(150, 68),15:22:04.1291904
(151, 68),15:22:04.3462144
(152, 68),15:22:04.3882496
(153, 68),15:22:04.5912704
(154, 68),15:22:04.7512192
(155, 68),15:22:04.9552640
(156, 68),15:22:05.1242880
(157, 68),15:22:05.2882816
(158, 68),15:22:24.3560576
(159, 68),15:22:24.5460480
(160, 68),15:22:24.7570304
(161, 68),15:22:25.8420352
(162, 68),15:22:26.0980352
(163, 68),15:22:26.3360512
(164, 68),15:22:26.5179776
(164, 69),15:22:30.2211840
(164, 70),15:22:30.4467200
(164, 71),15:22:30.6381952
(164, 72),15:22:30.9152128
(164, 73),15:22:31.0742528
(164, 74),15:22:31.2553216
(164, 75),15:22:31.4133632
(164, 76),15:22:31.6152320
(164, 77),15:22:31.8113024
(164, 78),15:22:31.9913600
(164, 79),15:22:32.1503232
(164, 80),15:22:32.3562880
(164, 81),15:22:32.5644416
(164, 82),15:22:40.2696704
(164, 83),15:22:40.4736896
(164, 84),15:22:40.6417152
(164, 85),15:22:43.7088128
(164, 86),15:22:43.9238272
(164, 87),15:22:44.1307136
(164, 88),15:22:44.3099136
(164, 89),15:22:44.4998528
(164, 90),15:22:44.6617728
(164, 91),15:22:44.8467840
(164, 92),15:22:45.0238080
(164, 93),15:22:45.2018944
(164, 94),15:22:45.3698176
(165, 94),15:23:04.2656000
(166, 94),15:23:04.4446336
(167, 94),15:23:04.6446720
(168, 94),15:23:04.8516224
(169, 94),15:23:05.0186624
(170, 94),15:23:05.1865728
(171, 94),15:23:05.3525760
(172, 94),15:23:06.6617088
(173, 94),15:23:08.9817216
(174, 94),15:23:09.1218048
(175, 94),15:23:09.3127936
(176, 94),15:23:09.6807296
(177, 94),15:23:09.8377728
(178, 94),15:23:10.0118912
(179, 94),15:23:14.5009408
(180, 94),15:23:14.6879232
(181, 94),15:23:14.8471168
(182, 94),15:23:15.0250496
(183, 94),15:23:15.1979648
(184, 94),15:23:15.3459712
(185, 94),15:23:15.4950528
(186, 94),15:23:19.5981824
(187, 94),15:23:19.7831424
(188, 94),15:23:19.9252096
(189, 94),15:23:19.9541632
(190, 94),15:23:20.1381760
(191, 94),15:23:20.3381632
(192, 94),15:23:20.5212032
(193, 94),15:23:20.9133184
(194, 94),15:23:21.2603136
(195, 94),15:23:25.8995456
(196, 94),15:23:26.0503808
(196, 95),15:23:31.2766464
(196, 96),15:23:31.4667008
(196, 97),15:23:31.5997696
(196, 98),15:23:31.7816704
(196, 99),15:23:31.9417344
(196, 100),15:23:32.0936704
(196, 101),15:23:32.2777728
(196, 102),15:23:32.6528128
(196, 103),15:23:33.1007488
(197, 103),15:23:43.9230976
(198, 103),15:23:44.1091712
(199, 103),15:23:44.2682752
(200, 103),15:23:44.4811648
(201, 103),15:23:44.6702592
(202, 103),15:23:51.9515264
(203, 103),15:23:52.0945024
(204, 103),15:23:52.2374400
(205, 103),15:23:52.4184704
(206, 103),15:23:52.5734400
(207, 103),15:23:52.7364480
(208, 103),15:23:52.8795520
(209, 103),15:23:53.0244992
(210, 103),15:23:55.7885568
(211, 103),15:23:55.9627648
(212, 103),15:23:56.1167232
(213, 103),15:23:56.2916992
(214, 103),15:23:56.4505984
(215, 103),15:23:56.6316800
(216, 103),15:24:03.6169216
(217, 103),15:24:03.7809024
(218, 103),15:24:04.0019200
(219, 103),15:24:04.6370176
(220, 103),15:24:08.7941504
(221, 103),15:24:09.1161344
(221, 104),15:24:22.9217280
(221, 105),15:24:23.1387904
(221, 106),15:24:23.3708032
(221, 107),15:24:23.5367808
(221, 108),15:24:23.7057408
(221, 109),15:24:23.8898304
(221, 110),15:24:24.0857728
(221, 111),15:24:24.2618112
(221, 112),15:24:24.4228736
(221, 113),15:24:24.6247680
(221, 114),15:24:25.0737280
(222, 114),15:24:33.6021888
(223, 114),15:24:33.7520768
(224, 114),15:24:33.9251072
(225, 114),15:24:34.1461632
(226, 114),15:24:34.7772672
(227, 114),15:24:35.0371072
(228, 114),15:24:35.3571456
(228, 115),15:24:43.0315904
(228, 116),15:24:43.1775744
(228, 117),15:24:43.1805824
(229, 117),15:24:43.4485760
(230, 117),15:24:52.2598912
(231, 117),15:24:52.4638336
(232, 117),15:24:52.6688640
(233, 117),15:24:52.8539392
(234, 117),15:24:53.0339712
(235, 117),15:24:53.2108800
(236, 117),15:25:04.2293120
(237, 117),15:25:04.5232768
(238, 117),15:25:04.7133568
(239, 117),15:25:05.1693952
(239, 118),15:26:32.6479744
(239, 119),15:26:32.8188800
(239, 120),15:26:33.0268544
(239, 121),15:26:33.1468800
(239, 122),15:26:33.2870016
(239, 123),15:26:33.4750208
(239, 124),15:26:33.6289024
(239, 125),15:26:33.8179328
