DotMotion,2019-03-06T16:40:09.8789632+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:10.1874048+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:12.0640000+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:14.0400000+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:16.0526464+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:18.0415360+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:20.0446336+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:22.0397696+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:24.0422528+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:26.0571136+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:28.0375552+00:00
{Id=1, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0, VelocityY=0.5, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:30.0412416+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:32.0393216+00:00
{Id=0, Duration=1, Colour1=1, Colour2=0, Contrast=1, numDots1=100, numDots2=100, VelocityX=0.5, VelocityY=0, Coherence=100, dotLifetime=20, dotLifetimeBool=0, size=1},2019-03-06T16:40:34.0485504+00:00
